,simulation_id,p,ver,initialization,hidden_size,corpus_seed,training_seed,regularization,regularization_lambda,learning_rate,num_epochs,dropout,validation_ratio,early_stop_patience,train_size,training_loss,validation_loss,G,D:G,test_accuracy,first_n_failure,eval_params
2768,5538b431,0.3,8,uniform,3,100,400,L1,1.0,0.001,20000,0.4,0.05,10.0,500,46.736976623535200,1.1483925580978400,3567,1663326.2131552300,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2793,f3168e5d,0.3,8,uniform,3,100,400,L1,0.5,0.001,20000,0.0,0.05,10.0,1000,23.884868621826200,1.148403286933900,3553,1662734.8885253500,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2794,acd882be,0.3,8,uniform,3,100,400,L1,0.5,0.001,20000,0.0,0.05,10.0,5000,23.88460350036620,1.1484180688858000,3541,1662744.0857062300,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2816,c27d4184,0.3,8,uniform,3,100,400,L1,0.5,0.001,20000,0.4,0.05,10.0,500,23.968111038208000,1.148421049118040,3581,1663329.8198928300,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2770,91b51b2e,0.3,8,uniform,3,100,400,L1,1.0,0.001,20000,0.4,0.05,10.0,5000,46.799800872802700,1.1484521627426100,3637,1662810.6300149900,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2818,23b0ac4d,0.3,8,uniform,3,100,400,L1,0.5,0.001,20000,0.4,0.05,10.0,5000,23.984582901001000,1.148457407951360,3591,1662826.4996604400,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2745,9a9321f8,0.3,8,uniform,3,100,400,L1,1.0,0.001,20000,0.0,0.05,10.0,1000,46.653472900390600,1.1484886407852200,3507,1662871.5838804700,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2746,d6a3178b,0.3,8,uniform,3,100,400,L1,1.0,0.001,20000,0.0,0.05,10.0,5000,46.6529655456543,1.1484932899475100,3509,1662878.977692560,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2758,969d3173,0.3,8,uniform,3,100,400,L1,1.0,0.001,20000,0.2,0.05,10.0,5000,46.688720703125,1.1485148668289200,3567,1662897.0113805700,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2922,94cb7340,0.3,8,uniform,3,100,400,L2,1.0,0.001,20000,0.6,0.05,2.0,5000,33.64764404296880,1.1485463380813600,3693,1662809.367656830,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2769,5dcb9d37,0.3,8,uniform,3,100,400,L1,1.0,0.001,20000,0.4,0.05,10.0,1000,46.69776153564450,1.1485838890075700,3583,1663009.3612568800,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2782,5911946b,0.3,8,uniform,3,100,400,L1,1.0,0.001,20000,0.6,0.05,10.0,5000,46.85943603515630,1.1486743688583400,3613,1663170.4020908200,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2828,da853c2f,0.3,8,uniform,3,100,400,L1,0.5,0.001,20000,0.6,0.05,10.0,500,24.09886932373050,1.1486835479736300,3617,1663791.8429796800,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2780,f19d464d,0.3,8,uniform,3,100,400,L1,1.0,0.001,20000,0.6,0.05,10.0,500,46.71076202392580,1.1488136053085300,3573,1663996.3450017300,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2830,ae944118,0.3,8,uniform,3,100,400,L1,0.5,0.001,20000,0.6,0.05,10.0,5000,23.980419158935500,1.149105191230770,3575,1663870.469859410,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
3244,01c61abb,0.3,8,uniform,3,100,500,L2,1.0,0.001,20000,0.4,0.05,2.0,500,6.9599199295043900,1.1492444276809700,3311,1657407.0157393500,0.002,2,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2831,7b1bc133,0.3,8,uniform,3,100,400,L1,0.5,0.001,20000,0.6,0.05,10.0,10000,24.063081741333000,1.1493868827819800,3597,1662497.0241804800,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
2807,56baf7e3,0.3,8,uniform,3,100,400,L1,0.5,0.001,20000,0.2,0.05,10.0,10000,23.932098388671900,1.1494166851043700,3551,1662558.1583828400,0.998,1,"{""test_max_n"": 1000, ""quantize"": true, ""compress_g"": false}"
